NO_OF_FRAMES	558
NO_OF_CAMERAS	11
NO_OF_MARKERS	34
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-30, 09:50:46.772	1691.57365920
DATA_INCLUDED	3D
MARKER_NAMES	HR	HL	C7	MS	PX	AR	AL	T7	ELR	EMR	ELL	EML	PMR	PLR	DMR	DLR	PLL	PML	DML	DLL	SIPSR	SIPSL	SIASL	SIASR	CLR	CMR	CML	CLL	MLR	MMR	FAR	MML	MLL	FAL
HR X	HR Y	HR Z	HL X	HL Y	HL Z	C7 X	C7 Y	C7 Z	MS X	MS Y	MS Z	PX X	PX Y	PX Z	AR X	AR Y	AR Z	AL X	AL Y	AL Z	T7 X	T7 Y	T7 Z	ELR X	ELR Y	ELR Z	EMR X	EMR Y	EMR Z	ELL X	ELL Y	ELL Z	EML X	EML Y	EML Z	PMR X	PMR Y	PMR Z	PLR X	PLR Y	PLR Z	DMR X	DMR Y	DMR Z	DLR X	DLR Y	DLR Z	PLL X	PLL Y	PLL Z	PML X	PML Y	PML Z	DML X	DML Y	DML Z	DLL X	DLL Y	DLL Z	SIPSR X	SIPSR Y	SIPSR Z	SIPSL X	SIPSL Y	SIPSL Z	SIASL X	SIASL Y	SIASL Z	SIASR X	SIASR Y	SIASR Z	CLR X	CLR Y	CLR Z	CMR X	CMR Y	CMR Z	CML X	CML Y	CML Z	CLL X	CLL Y	CLL Z	MLR X	MLR Y	MLR Z	MMR X	MMR Y	MMR Z	FAR X	FAR Y	FAR Z	MML X	MML Y	MML Z	MLL X	MLL Y	MLL Z	FAL X	FAL Y	FAL Z	
1203.994	452.976	2738.783	1387.085	671.038	2759.558	1146.322	787.491	2517.696	1163.330	547.642	2415.342	1159.507	448.737	2218.313	852.925	681.879	2485.402	1442.694	688.804	2474.889	1152.651	839.646	2216.612	654.632	386.796	2042.857	737.882	460.063	1936.519	1633.469	550.036	1965.335	0.000	0.000	0.000	1028.064	242.530	2204.845	1014.140	172.838	2183.934	1117.788	194.491	2291.478	1112.584	97.804	2210.170	1403.301	261.972	2144.078	1386.543	228.718	2096.176	1334.654	136.531	2136.648	1374.182	186.682	2218.173	1117.091	756.543	1769.745	1254.518	754.089	1771.268	1388.101	449.321	1713.435	977.169	471.772	1706.373	985.110	503.139	905.148	1205.701	536.835	870.424	1227.333	449.746	934.114	1440.026	418.733	890.613	991.094	755.885	135.088	1150.879	748.118	154.986	1091.219	480.601	28.739	1335.067	383.152	145.880	1487.795	383.139	154.239	1304.960	104.807	48.409
1202.641	453.941	2738.443	1386.089	671.638	2759.054	1145.887	788.756	2517.509	1161.991	548.782	2415.207	1157.743	449.816	2218.086	852.109	683.990	2485.297	1441.748	689.072	2474.504	1152.164	840.722	2216.152	653.235	388.586	2042.884	736.195	461.899	1936.451	1632.009	549.419	1965.030	0.000	0.000	0.000	1026.281	243.506	2205.116	1014.099	174.164	2182.963	1115.737	195.477	2291.598	1110.353	98.651	2210.525	1400.996	262.170	2143.993	1384.568	228.621	2096.252	1332.302	136.765	2136.876	1372.100	186.846	2218.241	1116.318	756.983	1769.377	1253.647	754.213	1771.059	1386.631	449.367	1713.289	975.857	472.476	1706.448	984.548	503.151	905.044	1205.127	537.178	870.649	1226.321	449.506	933.942	1439.158	418.407	890.409	990.885	755.910	135.105	1150.303	747.778	154.712	1091.413	480.543	28.690	1334.757	383.217	145.635	1487.691	382.487	154.540	1304.727	104.895	47.186
1201.184	454.923	2737.877	1385.318	671.942	2758.675	1145.404	790.103	2517.486	1160.544	549.939	2414.961	1156.106	450.927	2217.747	851.077	686.335	2484.925	1440.889	689.430	2474.317	1151.711	842.054	2215.780	652.020	390.400	2042.933	734.509	463.799	1936.310	1630.461	548.999	1964.905	0.000	0.000	0.000	1024.083	244.603	2205.269	1011.911	175.335	2183.379	1113.514	196.358	2291.677	1108.808	99.087	2210.687	1398.171	262.890	2144.026	1382.117	228.877	2096.165	1329.947	136.970	2137.010	1369.993	187.061	2218.262	1115.611	757.662	1769.079	1252.856	754.381	1770.880	1385.249	449.225	1713.199	974.413	473.300	1706.493	983.898	503.118	905.055	1204.589	537.596	870.891	1225.090	449.255	933.774	1438.245	418.041	890.378	990.598	755.868	135.242	1150.074	747.765	154.647	1091.457	480.556	28.748	1333.867	383.150	145.470	1487.260	382.210	154.482	1304.528	104.883	45.790
1199.773	455.843	2737.411	1384.550	672.338	2758.215	1144.852	791.495	2517.285	1159.025	551.284	2414.750	1154.335	452.017	2217.557	850.055	688.693	2484.599	1439.862	689.629	2473.828	1151.427	843.167	2215.743	650.070	392.974	2043.604	732.984	465.588	1936.519	1628.838	548.421	1964.294	0.000	0.000	0.000	1022.106	245.799	2205.509	1009.477	176.650	2183.916	1111.521	197.169	2291.897	1106.229	100.163	2211.267	1397.055	262.160	2143.999	1379.687	229.005	2096.272	1327.583	137.245	2137.159	1367.863	187.340	2218.611	1114.891	758.131	1768.667	1252.025	754.585	1770.641	1384.062	449.110	1713.117	972.998	474.079	1706.465	983.361	502.988	905.128	1204.009	538.013	871.062	1223.980	448.938	933.627	1437.312	417.434	890.362	990.493	755.970	134.922	1149.955	747.931	154.807	1091.453	480.597	28.574	1333.526	383.097	145.246	1486.635	381.951	154.421	1304.253	104.903	44.313
1198.181	456.892	2736.910	1383.641	672.863	2757.729	1144.301	793.042	2516.664	1157.702	552.444	2414.502	1152.525	453.195	2217.402	849.271	690.974	2484.416	1438.819	690.001	2473.445	1151.138	844.511	2214.758	648.168	395.384	2043.336	731.494	467.451	1936.712	1627.375	547.843	1964.018	0.000	0.000	0.000	1020.381	246.974	2205.739	1007.474	177.792	2183.993	1109.022	197.810	2292.478	1103.442	101.396	2211.677	1394.914	262.206	2144.015	1377.853	228.797	2096.574	1325.110	137.480	2137.303	1365.696	187.543	2218.609	1114.169	758.698	1768.332	1251.332	754.665	1770.371	1382.420	449.177	1713.113	971.399	475.017	1706.414	983.013	502.851	905.146	1203.195	538.056	871.066	1224.476	449.632	932.239	1436.254	416.964	890.186	990.180	755.949	134.924	1149.594	747.917	154.623	1091.411	480.680	28.600	1333.179	383.023	145.045	1486.027	381.637	154.423	1303.758	104.904	42.757
1196.375	458.112	2736.156	1382.712	673.387	2757.456	1143.471	794.241	2516.309	1156.160	553.686	2414.094	1150.612	454.457	2217.208	848.297	693.394	2483.968	1437.882	690.306	2473.101	1150.749	845.666	2214.336	642.499	398.630	2044.361	730.012	469.298	1936.741	1625.796	547.276	1963.739	0.000	0.000	0.000	1018.831	248.142	2206.051	1005.257	178.911	2184.327	1106.953	199.004	2292.905	1101.079	102.121	2212.001	1392.698	262.307	2144.107	1375.627	228.775	2096.618	1322.610	137.637	2137.588	1363.548	187.723	2218.535	1112.874	759.354	1767.058	1250.598	754.852	1769.645	1380.818	449.093	1712.867	969.884	475.909	1706.430	982.272	502.761	905.133	1202.570	538.200	871.192	1224.605	450.031	931.381	1435.193	416.457	890.020	990.120	756.023	134.611	1149.457	747.892	154.792	1090.952	480.830	27.738	1332.355	383.082	144.855	1485.412	381.253	154.430	1303.534	104.819	41.057
1194.901	458.709	2735.562	1381.662	673.952	2756.927	1142.957	795.569	2516.014	1154.609	554.967	2413.773	1148.859	455.505	2216.962	847.108	695.989	2483.470	1436.823	690.630	2472.619	1150.314	846.845	2213.842	640.897	400.723	2044.585	728.410	471.204	1936.617	1624.318	546.498	1963.469	0.000	0.000	0.000	1016.402	249.308	2206.305	1002.812	180.265	2185.107	1104.371	199.763	2293.515	1098.710	102.996	2212.495	1390.585	262.424	2144.175	1372.861	229.197	2096.383	1320.047	137.954	2137.740	1361.312	187.945	2218.578	1112.131	760.146	1766.612	1249.890	755.123	1769.357	1379.593	448.740	1713.029	968.483	476.608	1706.590	981.810	502.431	905.173	1201.142	537.542	870.975	1223.761	449.997	931.041	1434.195	415.942	889.756	989.685	755.899	134.544	1149.202	747.978	154.808	1091.602	480.652	28.024	1325.616	385.667	145.486	1484.703	380.972	154.396	1303.113	104.761	39.395
1193.462	459.571	2734.986	1380.816	674.432	2756.540	1142.310	797.061	2515.876	1153.000	556.399	2413.394	1147.287	456.488	2216.918	846.249	698.433	2483.267	1435.834	690.890	2472.291	1149.854	847.994	2213.036	650.023	402.071	2040.795	726.986	472.996	1936.573	1622.684	545.987	1963.006	0.000	0.000	0.000	1013.923	250.623	2206.535	1000.568	181.625	2185.451	1102.013	200.838	2293.892	1095.875	104.194	2213.017	1387.883	262.759	2144.052	1370.432	229.418	2096.429	1317.577	138.173	2137.841	1358.991	188.284	2218.594	1111.393	760.716	1766.283	1249.093	755.258	1768.955	1378.257	448.616	1713.171	967.086	477.436	1706.723	981.235	502.362	905.093	1200.107	537.410	870.889	1224.378	450.627	929.806	1432.818	415.353	889.220	989.505	755.943	134.471	1148.979	747.914	154.825	1091.488	480.816	27.771	1325.493	382.938	145.882	1484.021	380.734	154.386	1302.482	104.901	37.826
1192.220	460.669	2734.357	1379.724	675.013	2755.885	1141.604	798.432	2515.616	1151.375	557.765	2412.945	1145.368	457.861	2216.696	845.381	700.664	2482.912	1434.739	691.237	2471.919	1149.382	849.217	2212.618	648.507	404.323	2040.568	725.604	474.723	1936.591	1621.106	545.199	1962.781	0.000	0.000	0.000	1012.298	252.118	2206.700	998.195	183.033	2185.567	1100.112	201.950	2293.803	1093.581	105.141	2213.524	1385.731	262.845	2144.087	1367.778	229.689	2096.364	1314.855	138.574	2138.094	1356.612	188.531	2218.518	1110.743	761.223	1765.858	1248.541	755.307	1769.450	1376.900	448.314	1713.042	965.854	478.041	1706.803	980.503	502.352	905.289	1199.078	537.230	870.830	1222.765	450.155	929.414	1431.703	414.681	889.102	989.407	755.834	134.271	1148.456	747.738	154.734	1091.576	480.735	27.826	1326.433	383.456	144.812	1482.996	381.064	153.536	1301.933	105.168	36.835
1190.238	461.690	2733.430	1378.845	675.529	2755.483	1140.934	800.078	2515.346	1149.739	559.152	2412.502	1143.441	459.159	2216.476	844.107	703.352	2482.382	1433.660	691.534	2471.612	1148.968	850.464	2212.221	646.996	406.715	2040.425	724.037	476.680	1936.504	1619.562	544.631	1962.420	0.000	0.000	0.000	1010.495	253.463	2207.190	996.000	184.212	2186.351	1097.986	203.338	2294.263	1090.946	106.315	2214.022	1382.458	263.804	2143.939	1365.142	229.990	2096.417	1312.102	138.918	2138.361	1354.262	188.745	2218.661	1110.057	761.793	1765.475	1247.819	755.998	1768.564	1378.706	445.528	1713.906	964.362	478.837	1706.825	979.706	502.418	905.374	1198.406	537.396	871.309	1220.992	449.951	929.660	1430.538	413.962	888.779	989.206	755.819	134.051	1148.209	747.541	154.670	1091.673	480.678	27.785	1326.169	383.857	144.386	1482.504	380.462	154.217	1301.496	105.294	36.424
